name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
C1;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C10;0;true;fetch failed;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C2;0;true;fetch failed;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C3;0;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nfetch failed;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C4;0;true;Result hash inconsistency;2;8af2397d5d1d9d53570a80924e90c4b7;87149.66666666667;88373;85819;1045.424740901462;3;50;50;50;155444.33333333334;344511;55351;344511 66471 55351;61725 75331.66666666667 122629.66666666667 123513.33333333333 124138 124138.33333333333 124512.66666666667 124513.33333333333 124526 124526.33333333333 124686.66666666667 124689 125682.33333333333 127224.66666666667 127944.33333333333 129300.66666666667 133025.66666666666 133419 133809.33333333334 136328.33333333334 136582.33333333334 136592.66666666666 137208.66666666666 137211.33333333334 137576 137581.33333333334 137943 137958.33333333334 139904.33333333334 139904.66666666666 141203.66666666666 141337 143792 143792.33333333334 144883 147176.66666666666 147606 148937 149158.33333333334 150221.33333333334 150222 150444.33333333334 150444.33333333334 150449.66666666666 152124.33333333334 152124.33333333334 152988.66666666666 154465.33333333334 155092 155444;144958 168480 308645 308646 308646 308647 308647 308649 308649 308649 309042 309042 309042 309056 309194 313253 324161 324161 324177 324177 324526 324526 324529 324529 324551 324551 324588 324588 324783 324783 324850 325041 327609 327609 328296 334269 335557 338486 338486 338489 338490 338502 338502 338505 343058 343058 343060 343061 344510 344510;14390 27453 28100 30750 31145 31145 31488 31488 31494 31494 31570 31577 33775 34230 36030 36040 36307 36307 36466 36466 36879 36894 36921 36929 36929 36944 37990 37991 43634 43635 43661 43661 46952 46953 49513 50420 50420 51484 51486 51487 51488 51488 51488 51499 51969 51969 54560 54566 54742 55351;59039.53736833196 65874.4296488065 131538.57396300987 130908.66283872211 130468.25327514226 130468.72467462163 130204.98285481328 130205.92564685972 130197.03329185347 130196.80007929877 130361.16092695025 130359.49426361958 129654.99675763454 128585.3739151109 128167.19304703352 130078.17045744284 135156.35769318766 134882.45253800313 134621.8155286216 132917.52084239642 132978.61099272902 132971.32311726297 132565.9690275835 132563.95170214598 132340.4609558241 132336.4410541892 132088.9360721278 132078.84038541355 130766.37590842006 130766.13050871476 129941.51117671709 129985.35478532444 130040.6008624486 130040.35263289965 129727.06646134671 132320.2257261611 132927.27613498544 134049.22457316442 133897.411218025 133178.3274018545 133178.5514963527 133037.70079776467 133037.70079776467 133035.94057079297 135064.75195829425 135064.75195829425 134429.2782229956 133435.67967709719 134017.92149808424 133766.90638818956;133767.3775211613;"[[144958,168480,308645,308646,308646,308647,308647,308649,308649,308649,309042,309042,309042,309056,309194,313253,324161,324161,324177,324177,324526,324526,324529,324529,324551,324551,324588,324588,324783,324783,324850,325041,327609,327609,328296,334269,335557,338486,338486,338489,338490,338502,338502,338505,343058,343058,343060,343061,344510,344510],[25827,27453,28100,30750,32623,32623,33403,33403,33435,33436,33448,33448,33775,38388,38609,38609,38609,39789,40785,48342,48342,48358,50176,50176,51248,51249,51251,51296,51296,51296,55100,55309,56815,56815,56840,56841,56841,56841,57503,60688,60688,61343,61343,61345,61346,61346,61346,65769,66024,66471],[14390,30062,31144,31144,31145,31145,31488,31488,31494,31494,31570,31577,34230,34230,36030,36040,36307,36307,36466,36466,36879,36894,36921,36929,36929,36944,37990,37991,43634,43635,43661,43661,46952,46953,49513,50420,50420,51484,51486,51487,51488,51488,51488,51499,51969,51969,54560,54566,54742,55351]]"
C5;0;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Expecting --> } <-- but found --> '' <--;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C5;1;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Redundant input, expecting EOF but found: ?imdbactor;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C5;2;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Redundant input, expecting EOF but found: };3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C6;0;true;fetch failed;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C7;0;true;Unexpected "!" at position 0 in state STOP;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C8;0;true;fetch failed;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C9;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
