name;id;error;errorDescription;failures;hash;httpRequests;httpRequestsMax;httpRequestsMin;httpRequestsStd;replication;results;resultsMax;resultsMin;time;timeMax;timeMin;times;timestamps;timestampsMax;timestampsMin;timestampsStd;timeStd;timestampsAll
C1;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C10;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C2;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C3;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C4;0;false;;0;e0c998cda4c2c55805937a261dd5e466;2178354;2194442;2162231;13150.108972932505;3;50;50;50;82862.33333333333;83551;81951;81951 83085 83551;11160 11216.666666666666 17100.333333333332 17873.666666666668 18756 18756.333333333332 20974 20974.333333333332 21402.333333333332 22110.333333333332 24263.666666666668 25052.666666666668 25052.666666666668 25313.333333333332 30041.333333333332 30078.333333333332 33353 33899 37043.666666666664 37044 37486.333333333336 38098 40012.333333333336 40267.666666666664 41114.666666666664 41114.666666666664 49173 49212.333333333336 49624.666666666664 49886 55718.333333333336 55718.333333333336 56587 56879.333333333336 68341 68352.66666666667 68815.66666666667 69067.33333333333 71532 71569 72430.33333333333 72728.33333333333 74901.33333333333 74952 75339.66666666667 75617.66666666667 82015.33333333333 82015.66666666667 82472.66666666667 82716;11905 11961 17909 18208 19776 19777 21797 21797 22256 22539 25194 25748 25748 25948 30837 30858 33854 34736 37713 37713 38115 38728 40293 40547 41798 41798 49543 49599 50004 50239 56367 56367 57588 57877 69241 69241 69692 69923 72221 72275 73238 73534 76175 76240 76678 76959 82742 82743 83189 83425;9832 9876 15600 17271 17797 17797 19583 19584 20070 21634 23585 23887 23887 24209 28909 28953 32568 32829 36437 36438 36952 37154 39848 40127 40553 40553 48965 48965 49415 49656 54999 54999 55318 55651 67318 67353 67723 68004 70909 70966 71377 71692 73372 73414 73728 74057 81087 81087 81562 81811;941.3639041305971 949.9180081576633 1061.9706001371014 427.0006505329419 809.0739562405075 809.4942179465452 989.0793699193205 988.6105850580849 954.4598239609437 370.99895178048985 680.5499410199242 829.3532955796877 829.3532955796877 783.7815738811137 822.3155652721703 815.217898614979 562.1037863834994 795.7717428174153 522.8061038494312 522.4193717694626 479.4554781786892 679.8607700600666 199.4263996789013 197.52018180991587 515.4986798129447 515.4986798129447 262.3026242085021 276.9468460834236 268.7257999440239 253.40218362647678 560.7146233949039 560.7146233949039 945.9009814281126 923.2819480286374 789.8645453493909 774.7826935484699 818.2665960567022 797.0714452851067 537.6510640430898 539.3372476166157 779.3562870871206 769.4787557532408 1158.5123602659096 1167.1743657226198 1219.74268689024 1194.8448527830808 690.5352191517018 690.8860655387077 678.2852562815211 673.3305280469615;671.9054166241622;"[[9832,9876,15600,17271,17797,17797,19583,19584,20070,21634,23585,23887,23887,24209,28909,28953,32568,32829,36437,36438,36952,37154,39896,40127,40553,40553,49011,49073,49455,49763,54999,54999,55318,55651,67318,67353,67723,68004,70909,70966,71377,71692,73372,73414,73728,74057,81087,81087,81562,81811],[11905,11961,17909,18208,18695,18695,21797,21797,22256,22539,24012,25748,25748,25948,30837,30858,33637,34736,36981,36981,37392,38728,40293,40547,40993,40993,49543,49599,50004,50239,55789,55789,57588,57877,68464,68464,69032,69275,72221,72275,72676,72959,76175,76240,76678,76959,82217,82217,82667,82912],[11743,11813,17792,18142,19776,19777,21542,21542,21881,22158,25194,25523,25523,25783,30378,30424,33854,34132,37713,37713,38115,38412,39848,40129,41798,41798,48965,48965,49415,49656,56367,56367,56855,57110,69241,69241,69692,69923,71466,71466,73238,73534,75157,75202,75613,75837,82742,82743,83189,83425]]"
C5;0;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Expecting --> } <-- but found --> '' <--;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C5;1;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Redundant input, expecting EOF but found: ?imdbactor;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C5;2;true;Invalid SPARQL endpoint response from http://localhost:3001/sparql (HTTP status 400):\nParse error
Redundant input, expecting EOF but found: };3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C6;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C7;0;true;fetch failed;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C8;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
C9;0;true;terminated;3;;;;;;3;0;0;0;0;0;0;NaN NaN NaN;;;;;NaN;
